id,d,first_name,fn_initial,mn_initial,last_name
310515,14,R,R,A,Garcia
310522,0,R,R,A,Garcia
2060,2018,R,R,M,Garcia
4169,2004,R,R,M,Garcia
5524,1745,R,R,M,Garcia
5525,1749,R,R,M,Garcia
5526,1592,R,R,M,Garcia
5527,1615,R,R,M,Garcia
5528,1614,R,R,M,Garcia
5533,1597,R,R,M,Garcia
20152,1989,R,R,M,Garcia
178932,1847,R,R,M,Garcia
211172,82,R,R,M,Garcia
5524,1593,S,S,M,Garcia
5525,1595,S,S,M,Garcia
8063,279,S,S,M,Garcia
173596,80,S,S,M,Garcia
178932,1676,S,S,M,Garcia
178934,266,S,S,M,Garcia
4749,0,A,A,C,Martin
8378,0,A,A,C,Martin
11786,4,A,A,C,Martin
198945,7,A,A,C,Martin
55751,1,A,A,R,Martin
109767,4,C,C,"",Rucker-Martin
259752,0,A,A,R,Martin
308020,0,A,A,R,Martin
238841,278,B,B,"",Martin
243290,24,B,B,"",Martin
44092,2,B,B,"",Martin
80347,3,B,B,"",Martin
115989,2,B,B,"",Martin
221658,7,B,B,"",Martin
237771,1,B,B,"",Martin
248915,0,B,B,"",Martin
266036,5,B,B,"",Martin
313421,1,B,B,"",Martin
285425,3,B,B,B,Martin
202183,4,C,C,"",Martin
217872,12,C,C,"",Martin
188725,6,C,C,"",Martin
221906,5,C,C,"",Martin
225330,2,C,C,"",Martin
71568,6,J,J,F,Muller
200987,1,J,J,F,Muller
290422,3,J,J,F,Muller
309170,5,J,J,F,Muller
22059,5,J,J,M,Muller
62194,3,J,J,M,Muller
96661,0,J,J,M,Muller
105751,3,J,J,M,Muller
105930,6,J,J,M,Muller
142799,0,J,J,M,Muller
162082,3,J,J,M,Muller
168357,3,J,J,M,Muller
185965,3,J,J,M,Muller
251560,3,J,J,M,Muller
251561,0,J,J,M,Muller
2689,1,J,J,M,Muller
2692,3,J,J,M,Muller
73767,4,J,J,M,Muller
76114,1,J,J,M,Muller
90571,1,J,J,M,Muller
144928,1,J,J,M,Muller
144929,2,J,J,M,Muller
156235,1,J,J,M,Muller
211143,1,J,J,M,Muller
220943,2,J,J,M,Muller
229074,2,J,J,M,Muller
229075,3,J,J,M,Muller
296250,2,J,J,M,Muller
13158,7,M,M,C,Muller
15104,3,M,M,C,Muller
30634,6,M,M,"",Muller
66530,6,M,M,C,Muller
69982,9,M,M,C,Muller
113626,13,M,M,C,Muller
123784,13,M,M,C,Muller
159408,3,M,M,C,Muller
159450,1,M,M,C,Muller
159516,6,M,M,C,Muller
235293,5,M,M,C,Muller
255468,1,M,M,C,Muller
272648,7,M,M,C,Muller
26672,6,M,M,H,Muller
219926,0,M,M,H,Muller
254360,0,M,M,H,Muller
154481,1,R,R,D,Muller
198508,0,R,R,D,Muller
259084,16,R,R,D,Muller
315158,10,D,D,"",Martin
235219,5,D,D,C,Martin
12476,1,D,D,P,Martin
80387,1,D,D,P,Martin
173538,13,D,D,P,Martin
201031,1,D,D,P,Martin
204416,8,D,D,P,Martin
204417,6,D,D,P,Martin
237812,1,D,D,P,Martin
279401,5,D,D,P,Martin
287397,6,D,D,P,Martin
271155,2,E,E,"",Martin
124185,2,E,E,"",Martin
127024,6,E,E,"",Martin
178096,1,E,E,"",Martin
198648,1,E,E,"",Martin
278403,3,E,E,"",Martin
25019,1,E,E,"",Martin
63332,2,E,E,"",Martin
221463,3,E,E,"",Martin
303646,1,E,E,"",Martin
1469,3,A,A,W,Thomas
98921,3,A,A,W,Thomas
234526,1,A,A,W,Thomas
32296,5,A,A,W,Thomas
124130,5,A,A,W,Thomas
172187,8,A,A,W,Thomas
293112,7,A,A,W,Thomas
234202,0,B,B,"",Thomas
261132,0,T,T,"",Bonnemains
6359,2,B,B,"",Thomas
271375,2,B,B,"",Thomas
281306,1,B,B,"",Thomas
6873,0,F,F,"",Martin
6874,9,F,F,"",Martin
18092,3,F,F,"",Martin
71520,3,F,F,"",Martin
218148,6,G,G,"",Martin
242882,0,G,G,"",Martin
281521,0,G,G,"",Martin
36409,0,G,G,"",Martin
285574,0,G,G,"",Martin
185491,1,G,G,B,Martin
268384,4,G,G,B,Martin
67204,2,H,H,"",Martin
185272,8,H,H,"",Martin
200718,3,H,H,"",Martin
252411,4,H,H,"",Martin
275660,8,H,H,"",Martin
504,4,I,I,"",Martin
175942,2,I,I,"",Martin
207386,3,I,I,"",Martin
214001,2,I,I,"",Martin
13750,393,I,I,W,Martin
25467,74,I,I,"",Martin
26871,74,I,I,"",Martin
38841,391,I,I,W,Martin
48998,364,I,I,W,Martin
53126,362,I,I,W,Martin
53127,364,I,I,W,Martin
63908,362,I,I,W,Martin
187238,230,I,I,"",Martin
203846,0,I,I,"",Martin
256142,263,I,I,W,Martin
258354,357,I,I,W,Martin
259079,0,I,I,W,Martin
65513,6,J,J,"",Martin
140837,4,J,J,"",Martin
140838,3,J,J,"",Martin
206175,7,J,J,"",Martin
209318,0,J,J,"",Martin
224738,4,J,J,"",Martin
308338,1,J,J,"",Martin
246823,0,J,J,"",Martin
248379,3,J,J,"",Martin
248864,0,J,J,"",Martin
131650,3,J,J,"",Martin
280165,2,J,J,"",Martin
245,2,J,J,"",Martin
43790,2,J,J,"",Martin
212438,1,J,J,"",Martin
224079,10,J,J,"",Martin
234345,1,J,J,"",Martin
244396,0,J,J,"",Martin
279320,2,J,J,"",Martin
286516,2,J,J,"",Martin
297443,1,J,J,"",Martin
308993,8,J,J,"",Martin
308997,5,J,J,"",Martin
318053,0,J,J,"",Martin
8989,13,J,J,M,Martin
28046,5,J,J,M,Martin
64735,0,J,J,M,Martin
76344,6,J,J,M,Martin
77815,4,J,J,M,Martin
170134,12,J,J,M,Martin
175081,6,J,J,M,Martin
179731,3,J,J,M,Martin
196512,5,J,J,M,Martin
201084,4,J,J,M,Martin
202235,3,J,J,M,Martin
234934,12,J,J,M,Martin
240038,12,J,J,M,Martin
273783,4,J,J,M,Martin
281269,4,J,J,M,Martin
282049,3,J,J,M,Martin
285036,1,J,J,M,Martin
297903,2,J,J,M,Martin
53882,2,J,J,"",Martin
69026,1,J,J,"",Martin
